,caseno,country,region,add1yr,age,agehrp,aggdtwpew11g,ahchuk11,carer,carsnoc,cenheat,clients01,clients02,clients03,clients04,clients05,clients06,clients07,clients08,clients09,clients10,clients11,clients12,clients13,clients14,clients15,clients16,clients17,clients18,clients19,clients20,clients21,cobg,cobhukrc,concealed,depedhuk11,depemhuk11,dephdhuk11,dephshuk11,deprived,disability,dpcfamuk11,ecopuk,empstat,estnaturei,ethhuk11,ethnicityew,everwork,fmspuk11,health,hhldlang11,hlqupuk11,hours,housecarer,identity,illhuk11g,indgpuk11,intention,iscog,landlordew,langprf,larpuk,lastyrwrkg,mainglangg,marstat,meighuk11,mighuk11,mltrlg,movefromg,moveregion,natidbpuk11,natidepuk11,natidipuk11,natidnipuk11,natidopuk11,natidspuk11,natidwpuk11,nssec,nsshuk11,occg,passports,penexactpuk11,penhuk11,penpuk11,popbasesec,position,pproomhuk11,psptelog,relato,religionew,residtype,rtntypeg,samesex,scaddtyp,scghuk11,scgpuk11c,selfcon,sex,single,sizhuk,socmin,sscaddcpew11,stapuk11,student,supervisor,tenduk11,tenure,transport,typaccom,unemphist,visitorsg,wg1famuk11,wkpladdewni,wlshread,wlshspeak,wlshstnd,wlshwrit,wpzhome,wrkplaceew,yradindstud,yrarryearg
1135653,316105,1,7,1,61,67,-9,5,1,0,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6,1,2,1,0,1,0,3,1,1,12,1,-9,1,1,1,3,3,1,10,-9,1,-9,1,19,-9,14,2,-9,2,11,1,3,2,0,5,1,-9,1,4,7,4,3,4,4,11,21,12,2,1,8,0,1,-9,1,-9,2,2,2,1,1,-9,-9,4,1,2,2,2,125,1,-9,2,2,3,4,-9,3,12,0,0,-9,-9,-9,-9,-9,-9,-9,0,3
1484756,1054382,1,9,1,29,29,-9,4,1,0,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,0,0,1,3,2,14,1,-9,1,1,1,6,1,1,14,-9,0,-9,0,17,-9,53,2,-9,4,4,1,1,3,0,2,1,-9,3,1,7,4,3,4,4,25,25,61,1,0,-9,0,1,-9,1,-9,-9,2,2,1,-9,-9,4,4,1,2,1,2,614,1,-9,2,1,3,4,-9,4,3,0,0,-9,-9,-9,-9,-9,-9,-9,0,-9
1306502,2811515,2,11,1,42,42,9,9,1,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,4,2,0,0,0,0,1,3,12,2,1,-9,1,1,-9,3,3,1,10,3,0,-9,0,6,-9,91,-9,-9,1,1,1,2,2,0,2,1,-9,3,4,7,4,3,4,1,32,32,92,1,0,-9,0,1,-9,2,-9,-9,2,2,1,-9,-9,4,4,1,1,2,4,923,1,-9,2,2,1,2,7,2,-9,0,2,3,0,0,0,0,2,1,0,-9
2305241,1958010,1,9,-9,20,53,-9,10,-9,2,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,0,0,0,0,1,-9,-9,-9,-9,-9,1,-9,-9,-9,-9,1,-9,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,1,2,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,2,-9,2,-9,5,-9,2,-9,-9,4,2,-9,1,1,2,3,-9,-9,-9,1,-9,1,2,-9,2,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
460356,2702744,1,8,4,4,44,-9,6,1,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,16,2,1,1,1,1,5,3,2,-9,-9,-9,18,18,-9,4,1,4,-9,-9,1,-9,1,-9,-9,-9,3,2,4,-9,9,1,2,1,4,19,1,1,4,7,4,3,4,4,-9,29,-9,1,0,-9,0,1,-9,3,-9,4,9,2,2,-9,-9,2,-9,1,2,2,3,-9,1,1,1,-9,5,4,-9,4,-9,0,1,-9,-9,-9,-9,-9,-9,-9,0,-9
2237102,282137,1,8,1,56,56,7,10,1,3,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,19,19,2,0,0,0,0,1,3,7,2,1,-9,9,9,-9,3,2,2,16,3,0,-9,0,12,-9,21,-9,2,1,1,6,2,2,0,2,1,-9,1,4,7,4,3,4,4,16,16,52,1,0,-9,0,1,-9,2,-9,-9,4,2,1,-9,6,3,3,1,1,2,4,524,2,-9,2,2,0,1,7,3,-9,0,2,1,-9,-9,-9,-9,4,4,0,5
1776393,1299907,1,5,1,27,27,4,6,1,1,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,1,1,0,3,3,2,2,1,-9,1,1,-9,3,1,1,12,4,0,-9,1,3,-9,54,1,-9,3,1,1,1,2,0,2,1,-9,2,2,7,4,3,4,4,25,25,92,8,0,-9,0,1,-9,2,-9,-9,2,2,1,-9,-9,3,3,1,1,2,3,924,1,-9,2,2,4,4,7,4,-9,0,1,1,-9,-9,-9,-9,4,4,0,-9
651757,2788050,2,11,1,30,30,-9,2,1,0,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,4,-9,1,0,1,0,3,2,-9,16,-9,-9,1,1,2,2,4,1,10,-9,0,-9,1,-9,-9,-9,3,-9,4,-9,1,1,1,0,1,1,-9,3,4,7,4,3,4,1,36,36,-9,1,0,-9,0,1,-9,1,-9,-9,1,2,1,-9,-9,4,4,1,1,1,1,-9,1,-9,2,-9,5,4,-9,3,13,1,-9,-9,0,0,0,0,-9,-9,0,-9
1982552,1841945,1,10,1,85,85,-9,5,1,0,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,1,0,2,2,1,12,2,-9,1,1,1,6,3,1,14,-9,1,-9,1,9,-9,14,1,-9,11,10,1,6,2,0,2,1,-9,2,2,7,4,3,4,4,19,19,12,8,1,8,1,1,-9,1,-9,-9,2,2,1,-9,-9,-9,-9,1,2,2,2,122,1,-9,2,2,2,3,-9,3,12,0,0,-9,-9,-9,-9,-9,-9,-9,0,-9
1483281,240484,1,8,1,60,60,-9,10,1,3,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,14,14,2,0,1,1,0,3,1,1,15,1,-9,9,9,1,3,4,2,10,-9,0,-9,1,6,-9,71,-9,2,1,4,6,2,2,0,2,1,-9,1,4,7,4,3,4,4,33,33,53,1,0,-9,0,1,-9,2,-9,-9,4,2,1,-9,-9,3,3,1,1,2,4,531,1,-9,2,2,1,2,-9,3,4,0,0,-9,-9,-9,-9,-9,-9,-9,0,5
